review_page,review_title,review_content,review_language,review_date,user_name,user_location,user_contribution,user_helpfulVote
1,New Favourite Spot,"The small beach is still littered with litter by the shorelines. But it is still a nice quiet place to relax and be away from the crowd.  Be warned, there are no amenities on this island, so do pack what you think you may need.",en,2019-09-04,Brendaishungry,,11,1
1,A short getaway ,"Lazarus island as connected by a bridge to st john island. Easily reach within 20min from Singapore via ferry. Great getaway for a daytrip or picnic if want to avoid the crowd at other Singapore beaches. We chanced upon a family of otters. The fat cats on the island has beautiful fur. Though some people comment lots of mozzies but I get none, perhaps is the dry season. Too hot until the coconut trees became bald, no bugs want to come out under the blazing sun. With the sea breeze, is rather comfy under the wooden shelters.",en,2019-09-03,182chenf,,32,1
1,Relaxation on an Island Away from the City,A quiet and serene place for relaxation. Good view of the sea and nearby island. Able to enjoy the breeze in a very quiet surrounding. Good to have picnic at the island.,en,2019-08-07,PBL1956,"Singapore, Singapore",4,1
1,"Start early, quiet place for tanning","Reached Marina South Pier MRT at 9.30am. Exit B to the pier. You can see the pier once you are out of the MRT. It's not necessary for you to purchase your ferry tickets online. You can purchase it on the spot. You don't need passport to head over to Lazarus island. It's still part of Singapore. $18 per ticket, includes the return ride back. Remember to have sufficient cash, I didn't see any cashless mode of payment neither was there an ATM.  You can purchase food and drinks at the pier. There's quite a few of shops selling similar things. Like a 1.5l bottle of 100plus cost $3 and 1.5l mineral water was $1, banana was at 50cents to 60cents per unit.  There's no shops on St John island and Lazarus island. Lazarus island is connected to St John island. Maybe a 15-20mins walk. No trash bin at Lazarus, but you can throw your trash at St John island.  Toilets with showering facilities are available at both Lazarus and St John island. There's no hooks behind the doors of the bathing cubicles, so you cannot hang your clothes behind the door.  Started my journey to St John Island at 10am. The ride is around 20-30mins to St John and by the time I walked to Lazarus island it was around 11am including the time to find a spot to settle down.",en,2019-08-02,JamieSG27,"Singapore, Singapore",29,10
1,Weekend getaway to southern island Lazarus!,"Clearest blue sea which is part of Singapore southern islands,recommend to go there for picnic with friends,family or as couplet.ferry from Maria south Pier takes about 30 mins and cost about 15 sgd only. I had a fun and nice experience with friends.it worth it and will definitely go there again.",en,2019-05-01,khinnandarm,,91,3
2,Stopover at Lazarus Island,"I rented a yacht for a family and friends outing and it sailed to Lazarus Island for a stopover for 3 hours. Even on a weekend, it wasn't crowded. There were a few guys who had set up a camp there to do fishing. It has a sandy beach and it was very windy so we were able to fly kites easily. Not much facilities though. It is good to get there if you like a quiet place to go to the beach. There were a few yachts/catamarans docked at the island so seemed quite a number of people who visited went by that transportation on the day I visited",en,2019-03-28,ZN201890,,30,0
2,beautiful beach with limited facility,"1. took a boat ride that cost SGD18/return. the rides are readily available at Marina South Pier.The ride approximately take moreabout 20minutes in good weather to St.John Island Jetty.  2. This island is connected by a bridge with St. John Island, take a good long walk in between this two island for a good instagrammable picturettes.   3.No food outlets currently available, and part of the beach in St.John Island is closed due to environmental pollution.Nevertheless, this beautiful white beach island is open for visitation",en,2018-12-08,tiqaa,"Kajang, Malaysia",217,45
2,Great island escape for a day,"Really enjoyed my time here! Well worth renting a boat for a little fishing and paddle boarding around the area. There are otters, monitors, eagles and plenty of interesting other wildlife, including a turtle sanctuary nearby. Amazing this little bit of peace and quite is so close to a major CBD area. Greenwood fish market is in the marina area in Sentosa, highly recommend getting a seafood platter from there and taking out on your trip with a few bottles of wine.",en,2018-11-12,fozbob,"Shanghai, China",112,18
2,Quaint and quiet island for running and relaxing,"I love that our leashed dog and I was able to do plenty of running around the island's perimeter thanks to its concrete paths. The beach side was nice and quiet without any crowds, perfect for swimming apart from some dirty rubbish-laden stretches. The other side of the island also offers a lovely view of the downtown Singapore skyline. It does get extremely hot in the day here so be prepared for the lack of shade. Do also bring your own refreshments as there are none on the island.",en,2018-10-07,57ashleyl,"Singapore, Singapore",292,57
2,Beautiful Hideaway,"We took a trip here after reading about it online and weren’t disappointed. It’s so easy to get to, just walk out of South Pier MRT, straight ahead to the ticket booth and board the boat. Once you get to St John’s island just walk across the causeway to the beach. It’s so peaceful and it feels like you’re on another holiday, not 20 minutes from Singapore.  When we were there they were doing lots of work on St John’s and Kusu so you need to bring your own food and drink. I also wish I’d brought mosquito repellent, I left covered in bites. If you can manage it I’d also suggest bringing a beach umbrella or similar as the only shady places to sit are a little set back from the beach.",en,2018-08-28,Alpaca_Explorer,,74,23
3,Lazarus island review,Beautiful beach. Ideal for everyone. Swimming is allowed. Toilets and showers free of cost. No restaurants on the island. Take the Singapore island cruise ferry from the Marina South pier MRT station. Best to visit during the day on a non rainy day.,en,2018-06-12,JanhaviB11,"Mumbai, India",249,15
3,"History, walking and swimming / picnicking","This is a very easy trip to make. Hop of the MRT at Marina South Pier, exit and walk diagonally forward and to the left. You'll see the little orange booking office; 1 minute walk away. Return tickets are $18, no discounts except for children. There are toilets immediately to the left of the booking office. There are more trips scheduled on Saturday and Sunday, & no crowds, so I'd suggest a trip on the weekend. Lazarus was variously used by the British, Japanese, as a quarantine station, a Police Post, an Army barracks, a marine research centre, a rehab centre, a leperosium and a teens' adventure camp. If you have an inquiring mind, you'll find lots of vestiges of previous occupants of the island if you walk around the interior. There's a causeway connecting St John's to Lazarus, which is worth visiting. There's a very sheltered swimming area in the curve of the causeway. There are toilets up the hill on the right of the ferry pier as you disembark. Remember to bring: water bottles, sun block cream, hat, bathers, food / snack. Be sure to budget your time so you can visit Kusu Island as well. It's the second stop on your ferry trip.",en,2018-06-05,jeanettem190,"Cairns, Australia",473,181
3,Works on St John and Lazarus island,I visited last weekend and the ferry ticket guy said not to go to kusu island as they are working there and on St John's. St John's is almost conpletely closed off but they're also working on lazarus island. The beach can still be reached though and the small trails can also be used. There was no sign of works on kusu island (yet?) as I noticed when the return ferry moored there.,en,2018-06-04,geertb2017,"Sao Paulo, SP",178,15
