review_page,review_title,review_content,review_language,review_date,user_name,user_location,user_contribution,user_helpfulVote
1,Ideal for outdoor exercise ,"Cool place to exercise because it was a long stretch of walkway with nature tripping on the side while walking, biking or jogging overlooking the clean and well protected reservoir. Fishing site also and playground for toodlers.  Nice place to relieve stress .",en,2019-09-20,Realtalk_kirsten,"Singapore, Singapore",23,1
1,Off the beaten track,"Lower Seletar Reservoir is located in north-eastern Singapore (closest MRT red line, Khatib). In the very early morning, it is a sanctuary from the urban high-rise environment that is Singapore, although the towering HDB blocks of Yishun still remind you that you are in a city. As the sky slowly lightens at dawn, the calm tranquillity of the waters reflect back the pastel hues of the rising sun. The heritage bridge allows some reflecting views of the reservoir waters, while a short walk along the western shores brings you to the fishing deck, for more views. There are fairly large trees shading this walk, which makes it pleasant in the morning, but I suspect it would get much hotter later. The more adventurous can press on down Lentor Avenue and westwards across to Springleaf Park, which is a pleasant 40 min stroll (but avoid when the sun is out, as there isn't much shade).",en,2019-07-20,mostlyharmless,"Singapore, Singapore",1083,277
1,A little nature,"It's a nice and peaceful place, you can get into the sun and get some nice tan. Look out for the people canoe and fishing and hunting",en,2019-04-04,XavierShoot,"Singapore, Singapore",740,341
1,Tranquil and Serene,"Our grassroots committee organized a brisk walk at this reservoir park for residents followed by a round table lunch at Joy Garden Restaurant at Jurong Safra Club after the brisk walk. I was tasked to be the bus in-charge. Frankly speaking, as a local born Singaporean, I felt `ashamed' to tell the residents that this was my first time visiting this reservoir park.   A total of 370 residents participated in the brisk walk and I felt the tranquility and serenity of this place is adversely affected by the momentous noise from the huge crowd.   We alighted from our buses and walked from one end to the other end.of the reservoir. The distance is estimated to be about 1.5 km and most of our brisk walkers complained that it was too short to be really physically beneficial. Most of the walkers efficiently covered the distance within 15 mins.   At the end of the walk, we came to a heritage bridge that extended to the center of the reservoir. I also mingled with the crowd to read the information panels on the historical development of this Seletar Reservoir. It apparently was built in 1986 and was initially named Sungei Seletar Reservoir. The areas surrounding the reservoir were initially pineapple and gambier plantations before the area gave way to other development and Seletar River was traditionally a part of the river transportation network to the city. It is intriguing to learn so much information on this reservoir from that few information panels at the heritage bridge.   The architectural design of this heritage bridge resembled a kelong with stilts extending seaward. There is also a water play area before the heritage bridge. Children will find this water play area and the water fountain interesting.   The water in the reservoir appears calm and tranquil. There is also another boardwalk which extended to the middle of the reservoir and few anglers were patiently fishing with their line dipped below the water surface. I understand that the rewards for the anglers are tilapias and snakeheads.   We spent about an hour here before boarding the bus to Jurong Safra.   If you ask me if this reservoir park is suitable for group brisk walking, I would say yes. Because of her `remote' location, many Singaporeans would just find it troublesome or inconvenient to visit the park unless you are staying nearby or some organizing committee deliberately bring you here.    There are also watersports activities like kayaking and canoeing but it is not free.   Glad to discover another reservoir park. Hope to re-visit it another day.",en,2019-01-20,soh_kien_peng,"Singapore, Singapore",6155,2988
1,Suburban day trip mixing Nature and Local culture ,"Off the beaten path for most tourists, even compared with other national parks connectors, the Lower Seletar Reservoir is a popular jogging site and fishing as well the photography park partially because it’s near Yishun town and partially near a country club and forest areas. After exercise, one can shop for fresh seafood in one of the wet markets at AMK hub 620, and eat local food at place like Seng Kee bak kut teh or CHONG Pang estate in Yishun. The mixture of nature and local culture is worth half a day or more. We spent a whole day there today.",en,2018-12-28,nmiyuh,"Singapore, Singapore",468,32
2,Relaxing walk by the lake,"Pretty neat park, not far from our home in Woodlands. We visit the park sometimes in the morning or after dark to enjoy nice breeze and walk by the lake. The park has a lot limited parking lots so be prepare to park at the HDB car park on other side of the Yushun ave 1 if the parking lots are full. You may also use several bus services to the park. Once in the park, there are several walkways to enjoy the nature. Views at early morning and at sunset are breathtakingly beautiful",en,2018-08-12,824deveshd,"Singapore, Singapore",1093,39
2,pretty spot in north,Another singapore attraction that you should visit if you are in town for more than a short visit or if you have a car. The main entry point is at main car park. Has a lovely heritage bridge. But the best way to enjoy is via Selator Water Sports centre and by paddling on reservoir,en,2018-01-30,ET3121,"Greater Melbourne, Australia",32266,1618
2,Lower Seletar Reservoir,This local park is a great place to watch sunrise up in the north of Singapore. Good to go early in the morning to catch sunrise. Not to crowded and its really peaceful and quiet. We come here often and just today captured some really nice shots.,en,2017-06-21,psalm2334,Singapore,60,4
2,Good Place for Sunrise in Singapore,This is a pretty good place to catch Sunrise even if it is not on a entirely clear day. It was very quiet and quaint and not many people here on a Saturday morning accept a handful taking photographs and some people exercising.  The nearest mrt is Katib and it is approx. 20 mins' walk away. Best is to drive or take a taxi. There is a public carpark.,en,2017-06-03,JustLoveToFly,"Singapore, Singapore",7636,381
2,"A beautiful place to unwind, reconnect with nature & water","Popular place to unwind, walking, jogging, exercise, fishing and family activities in the morning and evening. Offers great opportunity to reconnect with nature & water and experienced an atmosphere of calmness, refreshing breeze this reservoir has to offer. A well-laid out park with plenty of activities tailored for young and old... water sports, kayaking, dragon boating, a family bay, water play area for children, lots of benches to sit and admire unobstructed views of the reservoir. The main attractions would be the Heritage bridge and the long curved kelong-like boardwalk extending into middle of reservoir with look-out platforms allowing visitors opportunity to spot fishes and other insects like damselflies and dragonflies. It's a place for photo enthusiasts to capture beautiful sunset of the reservoir and nice view of the golf course. The park is accessible by buses and just a short walk from Khatib MRT.",en,2017-03-13,leslieo532,"Singapore, Singapore",333,52
3,Pretty local park,"I've been here a few times over the years, the most recently today. It's a pretty place with a nice boardwalk out into the reservoir with some history about its development. Accessible via the park connector network or you can walk from Khatib mrt.",en,2017-01-02,KGB777,"Singapore, Singapore",38091,2383
3,"Nice relaxing Place for exercise, enjoying the view","Easily a place for your family and kids. Nice open spaces to enjoy the reservoir view and photo-taking moments as well. Easily accessible by car and Khatib MRT or bus 117. Good place for exercise, taichi, lepak, fishing. :)",en,2016-06-21,eteo232,"Sydney, Australia",4163,280
3,Back Nature,"Beautiful back to nature scenery. Place for local to have fresh air, exercise, jogging and relax. We spotted big lizard in the water. Place is very clean and well maintained. Saw people fishing as well even tough it is written no fishing allow.",en,2016-06-10,774erneste,"Singapore, Singapore",379,25
