review_page,review_title,review_content,review_language,review_date,user_name,user_location,user_contribution,user_helpfulVote
1,Didn't know that the place has closed,"didnt know about this place, and didnt know that its already closed. Met the owner when i was walking along the streets near the mosque, he invited me over to take pictures of the two museums (theres another museum next door). Both very small with second storeys. I was quite taken aback becos theres many physical contacts when asking me to pose and helping me to adjust my clothes. Of course he did not touch me inappropriately. however i take it as he was being super friendly and enthusiastic, he helped me to take alot of pics using my phone. Anyway if he had something up to his sleeves I could have just report him to the police since the museums cant run away lol. He showed me alot of pictures and postcards sent by his visitors to thank him. He also said that he's a photographer. More on the museum, i think there's nothing much, but worth for some quick photo taking! Very nice backgrounds. you can even ask to wear the traditional peranakan costume.",en,2019-11-12,ronggx,,1,1
1,Hidden gem,"We randomly walked around after finding the mural near aliwal art centre. The owner greeted us enthusiastically and asked us to come in for more phototaking. So we did. He was very enthusiastic and asking us to take photo and suggested us to pose in different ways. He helped us to take photos. Sometimes a bit too enthusiastic. We were taken back a bit as normally there wouldnt be much physical contact if you see the people for the first time. However we interpret it as he was simply very enthusiastic in showing us what this place has to offer. He also showed us a lot of postcards and photos that some of the previous visitors had sent him after their visits. After seeing the ground floor of his shop he offered us to see the second floor of the cafe next door. It turns out that there were more of his toys collections and if i was older i bet it must bring back heaps of childhood memories. Anyways, he was a bit too enthusiastic and our phone's battery was always used up from phototaking. So we thanked the owner and said bye. We promised to write a review and here we go.  A hidden gem i must say.  If you do not mind talking to a super enthusiastic and maybe will have a bit of physical contact when posing,then this place a worth a quick stop by.",en,2019-06-01,misschuic,,9,1
1,Down Memory Lane,"It was quite nice to see the toys, books, things of our childhood days. Brought back many pleasant memories. Though it is a small place but it's crammed full of things. Admission is free. Do drop by for a visit to experience Singapore's past.",en,2017-03-29,PakSoonL,"Singapore, null, Singapore",786,103
1,Quaint little place,"I was in the area during my short venture around Kampong Glam and saw this place. I won't say that I'm old enough to actually experience all the classic games and toys of Singapore, but the signage outside drew me in. Initially, the owner invited to us to take a look at the main gallery upstairs for S$2. It was a good deal, so we went in, and there were already a few kids there with their parents. The kids were really enjoying themselves with the toys, which was really warming to see. The area was really small, mostly unmaintained, but otherwise presents almost everything you want to see about what kids did in the past. The owner's demeanor changed a lot when we were leaving, giving a curt nod when we left. He was also muttering angrily about the kids upstairs playing with the bell too much.",en,2016-06-12,Edward_LSL,"Singapore, Singapore",195,27
1,Really rude owner,"I was there with a couple of friends checking out some of the nostalgic games on display and I was seriously considering purchasing some of the toys on display outside.  The owner, I have to say, is really two-faced. He would offer to take photos for tourists who were outside the shop (but not checking out the store), in hopes of luring them into the museum. But when my friend asked nicely to take a photo for us, he rudely turned us down and walked away, saying he's not free. As I have seen in previous reviews, the owner is not a nice person, he only cares about his business. It's true he does have some really neat toys in the store. But his ugly personality is honestly rather repulsive (how can someone so awful be the face of a little children museum?)",en,2015-12-30,heny93,"Melbourne, Australia",8,4
2,Childhood Nostalgia,"While exploring Kampong Glam on our Singapore holiday, my wife and I wandered into this place on Friday 6th November 2015. The owner promptly collected $2 from each of us, gave us each a ticket and directed us upstairs to the museum. We asked him if it was okay for us to take photographs of the exhibits and he replied in the affirmative.   As we walked up the creaky staircase we were confronted by a plethora of toys, and other childhood memorabilia. There were old school books and school items from the 1960s, a barber’s chair, an old drinks stall, a motor scooter, to name a few of the items on display. Not to mention, there were toys and dolls galore. There was a lot to behold in every nook and cranny, much to our delight.  On our way out we tried to engage the owner in a conversation, but he seemed pre-occupied with folding a sheet of brown paper and appeared uncommunicative. We thanked him and left.",en,2015-11-30,pragasam,"Brisbane, Australia",1164,126
2,This Museum Provides A View of the Toys that Singapore Children in the 60s-70s Used to Enjoy,"I'm in my 40s, so I can relate to this place because it features a collection of toys that date back in the 60s-70s, and it brought back many memories of what one's childhood in Singapore used to be like. I must acknowledge that the collection here is not an exhaustive one, but for the very low admission fee ($2?), I think it is worth dropping by this place while visiting the area. A visit to this museum shouldn't take more than an hour, unless you wish to examine every exhibit quite intensely.",en,2015-10-26,RoyChanYC,Singapore,260,42
2,Cheerful Tiny Museum,"This place located just opposite Sultan Mosque. So if you come to Arab street and you are interested in old toys and other nostalgic things, you can visit this small museum. The entrance ticket price was a small fee (can not remember exactly how much, between SGD3-4 I guess). Many dioramas, toys and stuff from the past (asian life) you can see there.",en,2015-10-19,ericAKIRA,samarinda,231,128
2,In the area,"We were walking in the area and popped in. Nothing we had not seen before, lots of cute toys and ohhh and arrrrs about items one grew up with. The person running the place on the day was more concerned about people taking photos alongside the memorabilia, perhaps they need a sign up.",en,2015-09-02,HellyDP,"Western Australia, Australia",80,23
2,Thirty minute window into the past,"This very small museum seems out of place in the must visit Kapong Glam part of the city. It is a just drop by and check it out kind of place and will take about 30mins to view   There are two floors. It is free to enter on the ground, look around, buy. It has a large robot at the door, a motorbike with passenger car inside with and lots of other old toys and objects from the past. Go upstairs and the owner collects two dollars entrance fee. You will find a wide variety of items ranging from toys, books, posters, school records, and games.",en,2015-08-16,spud2911,"Singapore, Singapore",193,44
