review_page,review_title,review_content,review_language,review_date,user_name,user_location,user_contribution,user_helpfulVote
1,Clean and newly refurbished,A very nice local neighborhood food court/market that has been recently refurbished. Most of the stalls are back in operation. I like the beancurd pudding and soy bean drinks here. Plenty of other options as well to choose from. Love to eat here whenever i am in Singapore.,en,2020-02-21,ymt888,"Petaling Jaya, Malaysia",1638,317
1,Newly Renovated,"After closing temporarily for one and half years , this wonderful place opened in May 2019. New , clean and bright ambience. A variety of delicious local foods to try at affordable prices.  D’authentic Nasi Padang is a MUST TRY. The coconut rice is so fragrant and crispy freshly fried chicken wings and ikan bilis ( mini anchovies ) for accompaniment.Ready by 8am for breakfast . If u go too late, it might be all sold out !!",en,2019-08-09,gracet308,,298,174
1,Lovely local food centre and market,"Due to the amount of cooked food stalls, the seating was a bit close together. A sort of used crockery sorters were in use. This Food Centre feature the usual highly delicious mix of multicultural morsels. Being situated in a high rise flats area, it is patronised by locals hence, the food served has to be great!",en,2019-07-10,SilverYorkie70,"Doncaster, UK",875,227
1,Great outdoor Food Halls,"Wonderful variety, Singapore famous chicken rice, satay, rojak, clams and mussels and all right on the beach. Great experience and wonderful food, mostly all pick up yourself few stalls have have table service. Cool sea breezes too, wonderful experience.",en,2019-06-03,JoeP2794,"New York, New York, United States",229,80
1,Shop and eat like a local.,This is a clean local shopping area with interesting stores and items to purchase. Pay local prices. We ate at the food Hawker market near block 80. Fantastic dumplings at Shan Dong Dong Ji La Mian Xiao Long Bao. Inexpensive and really fantastic. Great activity for the evening. The Marine Parade parklands are close by as well.,en,2019-02-01,X8330ERkarenw,"Sunshine Coast, Australia",109,32
2,Reconstruction,It took some time to find it because of the construction works nearby. We looked for a special kind of spice we had bought there last year and finally found it.,en,2018-08-11,LussyV,"Varna, Bulgaria",925,228
2,"Everything is here, hawker centre","Marine Parade is just like a one stop service place. You can find everything here with a good price. My parents like to find things here, everytime we visit this place.  The local food court, hawker centre, is very known for its delicious food. It's always full with people. In this area you can find McDonald's too.",en,2018-06-29,Lynns98816,,716,97
2,Awesome food,It's defiantly not the biggest and it's probably not the best but it's for sure one of my favorite food places. I recommend eating their chicken rice and chaw sew nuddles it's really good.,en,2017-09-28,nanyulin1999,"Stockholm, Sweden",61,3
2,Europe/Singapore holiday 2017,"Go to this market every time I am in Singapore. Love the food court, all types of food. The seafood Haw Fun is lovely. Coffee for $1, food for $3 to $4 a plate. Beer ice cold and $6:30 a large bottle.Directly opposite the Hotel I stay, the Grand Mercure Singapore Roxy.",en,2017-08-18,988craigr,"Yarrawonga, Australia",1260,83
2,Short Stopover Before heading to Airport ,"1. On my way to the airport, stop at Marine Parade Market & looking for food & last minute repair on my wrist watch. 2. My wrist watch on sudden stop, so need to change the batteries. The price is cheap & the service is excellent. 3. Food area we'll maintain & nicely renovated after recent upgrading. 4. Area is full of patron. I'm just they to buy some packet food & repair my watch.",en,2017-07-21,nahilisabtu,"Singapore, Singapore",188,30
